source,domain,time_period,variable,path
BRAN2020,ice,annual,"['swflx_dn', 'swflx']",/g/data/gb6/BRAN/BRAN2020/annual/ice_force_ann_2003.nc
BRAN2020,ice,annual,"['swflx_dn', 'swflx']",/g/data/gb6/BRAN/BRAN2020/annual/ice_force_ann_2004.nc
BRAN2020,ice,annual,"['swflx_dn', 'swflx']",/g/data/gb6/BRAN/BRAN2020/annual/ice_force_ann_2005.nc
BRAN2020,ice,annual,"['swflx_dn', 'swflx']",/g/data/gb6/BRAN/BRAN2020/annual/ice_force_ann_2006.nc
BRAN2020,ice,annual,"['swflx_dn', 'swflx']",/g/data/gb6/BRAN/BRAN2020/annual/ice_force_ann_2007.nc
BRAN2020,ice,annual,"['swflx_dn', 'swflx']",/g/data/gb6/BRAN/BRAN2020/annual/ice_force_ann_2008.nc
BRAN2020,ice,annual,"['swflx_dn', 'swflx']",/g/data/gb6/BRAN/BRAN2020/annual/ice_force_ann_2009.nc
BRAN2020,ice,annual,"['swflx_dn', 'swflx']",/g/data/gb6/BRAN/BRAN2020/annual/ice_force_ann_2010.nc
BRAN2020,ice,annual,"['swflx_dn', 'swflx']",/g/data/gb6/BRAN/BRAN2020/annual/ice_force_ann_2011.nc
BRAN2020,ice,annual,"['swflx_dn', 'swflx']",/g/data/gb6/BRAN/BRAN2020/annual/ice_force_ann_2012.nc
BRAN2020,ice,annual,"['swflx_dn', 'swflx']",/g/data/gb6/BRAN/BRAN2020/annual/ice_force_ann_2013.nc
BRAN2020,ice,annual,"['swflx_dn', 'swflx']",/g/data/gb6/BRAN/BRAN2020/annual/ice_force_ann_2014.nc
BRAN2020,ice,annual,"['swflx_dn', 'swflx']",/g/data/gb6/BRAN/BRAN2020/annual/ice_force_ann_2015.nc
BRAN2020,ice,annual,"['swflx_dn', 'swflx']",/g/data/gb6/BRAN/BRAN2020/annual/ice_force_ann_2016.nc
BRAN2020,ice,annual,"['swflx_dn', 'swflx']",/g/data/gb6/BRAN/BRAN2020/annual/ice_force_ann_2017.nc
BRAN2020,ice,annual,"['swflx_dn', 'swflx']",/g/data/gb6/BRAN/BRAN2020/annual/ice_force_ann_2018.nc
BRAN2020,ice,annual,"['swflx_dn', 'swflx']",/g/data/gb6/BRAN/BRAN2020/annual/ice_force_ann_2019.nc
BRAN2020,ice,annual,"['swflx_dn', 'swflx']",/g/data/gb6/BRAN/BRAN2020/annual/ice_force_ann_2020.nc
BRAN2020,ice,annual,"['swflx_dn', 'swflx']",/g/data/gb6/BRAN/BRAN2020/annual/ice_force_ann_2021.nc
BRAN2020,ice,annual,"['swflx_dn', 'swflx', 'lwflx_dn', 'lwflx']",/g/data/gb6/BRAN/BRAN2020/annual/ice_force_ann_2022.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_1993.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_1994.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_1995.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_1996.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_1997.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_1998.nc
